ECA1637,ECA2115,ECA2373,ECA2299,ECA1657,ECA1443,ECA1170,ECA1129,ECA1439,ECA1429
58,62,107,36,66,132,26,150,130,8
76,64,159,15,129,88,70,83,141,57
89,132,153,7,54,148,23,138,135,144
36,96,56,33,152,88,87,54,129,111
109,122,122,44,96,87,49,72,129,123
142,111,132,27,110,62,46,132,91,107
103,101,169,33,88,87,64,140,90,65
125,114,118,25,74,118,17,142,132,92
133,101,104,11,86,133,65,24,105,137
81,127,137,54,66,119,63,162,124,134
111,,110,60,73,,68,150,,64
,,155,39,95,,86,,,
